student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,adr_city,adr_district,adr_postal,hobbies,skills,family,devices
1,Claudia Short,20,Unknown,80,16193794152,Katieland,someone@gmail.com,,Data Science,100,Active,3.72,Good,135,,"Apartment 37, South Kevin district, Tashkent, UZ, 100539",Tashkent,South Kevin district,100539,"gun, nice","tech: python=2, excel=5, sql=1 | soft: with, onto","siblings: 4 | income: father=1198, mother=1089",type: laptop | brand: HP | year: 2021; type: phone | brand: Xiaomi | year: 2021
2,,20,Female,90,,Dawnburgh,psmith@chen.com,29/08/2017 00:00,Data Science,100,Active,1.88,Excellent,152,10/11/2001 04:19,UZ 100332 Tashkent South Patricia,Tashkent,,100332,"against, good",,,
3,Kathryn Moyer,20,Unknown,90,,Lake Stevenmouth,,14/08/2017 00:00,Data Science,100,Pending,5.08,Excellent,185,,"Wendyshire 12-kv, dom 1, Tashkent",Tashkent,Wendyshire 12-kv,,"fast, clearly","tech: python=5, excel=3, sql=1 | soft: despite, clearly","siblings: 1 | income: father=263, mother=202",type: laptop | brand: HP | year: 2020; type: phone | brand: Samsung | year: 2023
4,Ruben Wilson,20,Female,81,,Port Pamelafort,,17/09/1973 00:00,Data Science,100,Inactive,0,Good,175,,"Apartment 16, North Tamara district, Tashkent, UZ, 100097",Tashkent,North Tamara district,100097,"left, role","tech: python=3, excel=5, sql=1 | soft: full, series","siblings: 4 | income: father=508, mother=698",type: laptop | brand: Lenovo | year: 2020; type: phone | brand: Samsung | year: 2024
5,Robert Pruitt,20,Female,80,1826595631,Kingburgh,,25/11/2023 00:00,Data Science,100,Pending,4.37,Average,282,13/10/2013 00:00,,,,,"sort, science","tech: python=1, excel=4, sql=1 | soft: whose, save","siblings: 3 | income: father=862, mother=1058",type: laptop | brand: Lenovo | year: 2023; type: phone | brand: Apple | year: 2022
6,David Martinez,20,Male,90,748286016,Hugheshaven,nathangibbs@hotmail.com,,Data Science,110,Pending,15.5,Average,85,30/04/1983 01:46,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551",Tashkent,North Jamesfurt district,100551,"order, keep",,,
7,,18,Female,71,3140180928,Sharpfurt,nguyenlisa@horn.org,16/01/1982 00:00,Data Science,100,Active,0,Excellent,275,19/11/2004 23:42,"Lake Tracishire 29-kv, dom 8, Tashkent",Tashkent,Lake Tracishire 29-kv,,"fall, teacher","tech: python=4, excel=1, sql=4 | soft: teacher, good","siblings: 3 | income: father=1270, mother=931",type: laptop | brand: HP | year: 2018; type: phone | brand: Xiaomi | year: 2023
8,Nicholas Dennis,21,Female,90,8091556011,Matthewfort,,26/06/2000 00:00,Python,63,Active,4.5,Excellent,135,23/09/1978 00:00,"70576 Butler Harbor Suite 847, Janetberg",Janetberg,,70576,,,,
9,,20,Female,77,8549645423,South Paulchester,stacysmith@taylor.biz,15/03/2000 00:00,Data Science,110,Active,15.5,Excellent,104,20/10/1995 00:00,"Williamsborough 2-kv, dom 18, Tashkent",Tashkent,Williamsborough 2-kv,,"require, open","tech: python=1, excel=5, sql=4 | soft: partner, walk","siblings: 0 | income: father=850, mother=1062",type: laptop | brand: Dell | year: 2019; type: phone | brand: Apple | year: 2020
10,Elizabeth Villegas,22,Female,80,2054674476,South Dianatown,anthonywalker@gmail.com,11/02/2013 07:12,Data Science,99,Inactive,3.7,Average,215,16/12/2014 06:44,,,,,"management, to","tech: python=1, excel=1, sql=4 | soft: beat, southern","siblings: 3 | income: father=597, mother=1150",type: laptop | brand: Dell | year: 2016; type: phone | brand: Xiaomi | year: 2023
11,Shawn Baker,19,Unknown,80,9868509629,Zhangstad,,10/06/2025 00:00,Data Science,110,Active,3.7,Excellent,183,06/06/2001 05:29,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",Tashkent,North Samantha district,100659,,,,
12,,18,Female,71,,Austinside,annalee@gmail.com,14/01/2013 19:16,Data Science,110,Inactive,2,Average,208,27/05/2003 00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315",Tashkent,Morrismouth district,100315,"forward, like",,,
13,,19,Female,90,2235736311,Lesliefurt,someone@gmail.com,24/12/2014 00:00,Data Science,110,Inactive,4.5,Excellent,84,21/11/2010 00:00,"Frankchester 9-kv, dom 20, Tashkent",Tashkent,Frankchester 9-kv,,,,,
14,Thomas Prince,20,Unknown,80,,East Michellestad,aphillips@holland-diaz.org,09/02/2012 00:00,Python,114,Inactive,15.5,Excellent,210,14/05/2013 00:00,UZ 100394 Tashkent Stevensborough,Tashkent,,100394,"understand, become",,,
15,,21,Male,73,,Michellebury,kevin65@maxwell.info,17/03/1971 08:30,Python,110,Pending,3.7,Good,191,29/10/1984 14:14,"Davidborough 9-kv, dom 29, Tashkent",Tashkent,Davidborough 9-kv,,,,,
16,Adrian Allen,20,Female,80,,Antoniobury,,29/08/1999 00:00,Python,110,Pending,3.7,Excellent,53,13/10/1983 00:00,"1965 Jacobs Branch Apt. 418, Timburgh",Timburgh,,,"partner, race","tech: python=4, excel=4, sql=4 | soft: onto, owner","siblings: 3 | income: father=798, mother=626",type: laptop | brand: Dell | year: 2019; type: phone | brand: Apple | year: 2022
17,Stephen Lyons,19,Unknown,76,,New Adam,,13/10/2009 02:20,Data Science,110,Active,4.5,Good,110,04/12/1984 09:17,UZ 100399 Tashkent Joehaven,Tashkent,,100399,"nothing, community","tech: python=1, excel=1, sql=5 | soft: wear, will","siblings: 1 | income: father=772, mother=498",type: laptop | brand: Lenovo | year: 2023; type: phone | brand: Apple | year: 2021
18,Zachary Lyons,18,Male,68,2425525722,Chenport,,25/09/2003 00:00,Data Science,110,Inactive,4.5,Average,138,27/08/1997 00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",Tashkent,Port Kevin district,100106,,,,
19,,20,Female,50,11790996883,West Danaville,,20/02/1974 00:00,Data Science,110,Active,3.05,Excellent,66,07/05/1976 00:00,,,,,,,,
